,Course Code,Average Grade
530,ME 694,8.360576923076923
531,ME 704,7.896995708154506
532,ME 710,7.457831325301205
533,ME 735,8.699186991869919
534,ME 760,6.883333333333334
535,ME 773,7.124031007751938
536,ME 781,7.5310173697270475
537,ME 782,6.748427672955975
538,ME 785,7.149253731343284
539,ME 786,7.533333333333333
540,ME 787,6.923076923076923
541,ME 788,8.01063829787234
542,ME 791,8.325
543,MES801,8.982608695652173
544,IWE708,8.454545454545455
545,IWE709,8.577777777777778
546,IWE716,7.844444444444444
547,MG 401,7.905063291139241
548,MG 403,7.8076923076923075
549,MGT801,8.631578947368421
550,MNG802,7.6421052631578945
551,MNG803,6.102564102564102
552,SOM601,8.157446808510638
553,SOM602,7.841991341991342
554,SOM603,7.707368421052632
555,SOM604,7.633047210300429
556,SOM605,6.877155172413793
557,SOM606,7.231422505307855
558,SOM607,7.067685589519651
559,SOM608,8.043196544276459
560,SOM609,8.313978494623656
561,SOM610,7.354347826086957
562,SOM611,7.280254777070064
563,SOM626,8.415841584158416
564,SOM633,8.319526627218934
565,SOM637,8.406015037593985
566,SOM645,8.6875
567,SOM650,7.940476190476191
568,SOM651,6.75
569,SOM653,7.875
570,SOM654,7.666666666666667
571,SOM655,7.595959595959596
572,SOM661,7.98314606741573
573,SOM663,8.434782608695652
574,SOM677,8.543478260869565
575,SOM689,7.9655172413793105
576,SOM690,8.344961240310077
577,SOM697,8.193832599118943
578,SOM703,8.0
579,SOM704,8.009569377990431
580,SOM705,8.703007518796992
581,IWE705,8.355555555555556
582,MGS802,9.097560975609756
583,SOM646,8.368421052631579
584,MM 201,6.3076923076923075
585,MM 209,8.033444816053512
586,MM 217,7.079012345679012
587,MM 305,6.62
588,MM 396,7.132978723404255
589,MM 409,6.919540229885057
590,MM 433,8.746236559139785
591,MM 435,8.501340482573726
592,MM 447,7.411290322580645
593,MM 452,8.070175438596491
594,MM 453,8.014613778705638
595,MM 474,7.586734693877551
596,MM 492,9.40625
597,MM 621,8.505263157894737
598,MM 641,8.717391304347826
599,MM 651,7.668161434977579
600,MM 654,7.471264367816092
601,MM 659,7.95575221238938
602,MM 680,8.858695652173912
603,MM 681,8.4
604,MM 695,8.338461538461539
605,MM 713,7.829787234042553
606,MM 717,8.285714285714286
607,MM 719,8.33108108108108
608,MM 724,9.13953488372093
609,MM 729,8.426470588235293
610,MM 730,7.394736842105263
611,MM 731,8.80794701986755
612,MM 732,8.633423180592992
613,MM 733,8.435897435897436
614,MM 734,8.902439024390244
615,MM 735,9.254901960784315
616,MM 737,7.743801652892562
617,MM 738,8.069230769230769
618,MM 748,8.777777777777779
619,MMS801,9.231707317073171
620,MM 220,8.11328125
621,PH 207,7.897435897435898
622,PH 215,7.221621621621622
623,PH 217,6.577519379844961
624,PH 219,6.723618090452261
625,PH 251,7.770491803278689
626,PH 253,8.84
627,PH 303,9.425531914893616
628,PH 401,7.253521126760563
629,PH 403,7.516908212560386
630,PH 405,8.01923076923077
631,PH 407,7.333333333333333
632,PH 421,7.100418410041841
633,PH 423,7.051282051282051
634,PH 434,7.284
635,PH 435,8.895454545454545
636,PH 443,8.582914572864322
637,PH 505,6.9601449275362315
638,PH 515,7.670212765957447
639,PH 517,6.747706422018348
640,PH 523,7.0608108108108105
641,PH 543,8.104477611940299
642,PH 549,7.769230769230769
643,PH 557,7.770491803278689
644,PH 561,7.416666666666667
645,PH 563,7.37012987012987
646,PH 565,7.678571428571429
647,PH 567,7.590425531914893
648,PH 569,7.85
649,PH 587,9.25974025974026
650,PH 595,9.203703703703704
651,PHS801,9.58974358974359
652,PH 202,6.470899470899471
