Course Code,Average Grade,CBS,nXX,Course Name,Course Type
EN 613,6.52046783625731,1.8858151586903789,6,Nuclear Reactor Theory,Theory
EN 618,7.282051282051282,3.3388195292283283,6,Energy Systems Modelling & Analysis,Theory
EN 639,7.040816326530612,1.0645548440994,6,Renewable Energy Integration,Theory
EN 703,8.5,1.4129093263129864,7,Advanced Concepts in Solar Cell Technologies,Theory
ENS801,8.64,4.661192917714307,8,Seminar,Seminar
EN 321,7.809523809523809,0.6846083582266662,3,Supervised Learning Project,Lab
ENT603,8.736928104575163,5.726249627951729,6,Introduction to Entrepreneurship,Theory
ENT606,8.492436974789916,5.175519647631242,6,Developing a Proof of Concept- Basic,Lab
ES 200,8.01439588688946,3.8593871878164654,2,Environmental Studies: Science and Engineering,Theory
ES 201,6.285714285714286,2.1849174533929627,2,Applied Environmental Microbiology and Ecology,Theory
ES 202,7.892857142857143,3.2031216295204974,2,Fundamentals of Environmental Chemistry,Theory
ES 203,7.388888888888889,1.7126795682933875,2,Water and Wastewater Engineering,Theory
ES 209,8.305882352941177,4.005668583575316,2,Data Analysis & Interpretation,Theory
ES 296,6.95,0.8619148053461082,2,Seminar,Seminar
ES 301,8.19626168224299,4.550274127566401,3,Introduction to Fluid Mechanics,Theory
ES 307,8.148514851485148,3.884223921611408,3,Wastewater Engineering,Theory
ES 315,7.666666666666667,2.9696653029933198,3,Solid Waste Management - Basic Principles and Technical Aspects,Theory
ES 317,8.321428571428571,4.954851073519992,3,Fundamentals of Air Pollution Science and Engineering,Theory
ES 319,7.921985815602837,3.157590394693964,3,Computational Laboratory for Environmental Engineering,Lab
ES 321,7.857142857142857,3.585376023588379,3,Energy and Environmental Sustainability,Theory
ES 401,8.5,1.9209269092528267,4,Environmental management,Theory
ES 631,7.2620689655172415,4.432459886922241,6,Environmental Chemistry,Theory
ES 633,7.778688524590164,5.632367842189652,6,Enviornmental Microbiology and Ecology,Theory
ES 635,7.792,4.318663370461096,6,Air Pollution Science and Engineering,Theory
ES 637,8.21311475409836,5.221017213301837,6,Municipal Water and Wastewater Systems,Theory
ES 639,7.385786802030457,2.622542873395138,6,Physico-Chemical Treatment Technologies,Theory
